Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,13,18,0.419,-13.78,-7.38,8,10,10,5,2,12,2209,2272,,69.7,104.3,0.442,0.292,0.565,51,47.5,7.3,8.6,0.527,18.4,25.7,0.313
2,Air Force,32,14,18,0.438,-5.5,0.67,5,13,12,5,2,13,2189,2330,,69,104,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.51,17.1,28.5,0.259
3,Akron,34,26,8,0.765,5.89,-1.39,13,5,15,0,6,7,2619,2309,,69.3,98,0.316,0.333,0.493,49.8,45.8,8.6,7.7,0.461,14.6,31.1,0.212
4,Alabama A&amp;M,29,11,18,0.379,-13.24,-10.52,6,12,6,5,4,12,1974,2042,,65.6,105.9,0.398,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.4,29.3,0.264
5,Alabama-Birmingham,32,26,6,0.813,3.86,-3.5,16,2,16,0,10,3,2527,2226,,69.3,98.8,0.296,0.35,0.501,47.3,50.3,8.8,8,0.469,15.5,34.7,0.205
6,Alabama State,31,14,17,0.452,-12.81,-9.05,9,9,8,3,5,12,2217,2308,,69.5,105.4,0.44,0.326,0.547,50.3,50,8.5,8.3,0.519,16.1,26.2,0.286
7,Alabama,32,18,14,0.563,7.84,8.81,8,10,10,4,5,7,2139,2170,,66.2,101.7,0.398,0.345,0.502,52.2,48.4,8.6,9.5,0.464,15.4,37.4,0.266
8,Albany (NY),32,24,8,0.75,1.18,-7.72,13,3,14,1,10,7,2405,2086,,67.6,95.7,0.268,0.395,0.506,44.6,50.1,7.8,10.4,0.48,17.1,28.9,0.179
9,Alcorn State,30,15,15,0.5,-15.78,-9.7,13,5,9,2,6,9,2014,2164,,66.4,106.4,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.4,29.5,0.271
10,American,31,12,19,0.387,-13.91,-5.82,9,9,5,7,7,12,1785,2036,,61.9,105.3,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.7,30.7,0.267
11,Appalachian State,31,9,22,0.29,-7.74,-0.94,7,13,6,7,2,12,2187,2398,,70.8,109.2,0.398,0.256,0.544,50.3,43.6,9,10.8,0.512,13.8,29.9,0.272
12,Arizona State,32,15,17,0.469,8.66,9.35,5,13,11,6,3,9,2345,2367,,69.8,105.2,0.381,0.349,0.553,49.6,58.2,8.3,12.9,0.52,16.3,24.1,0.267
13,Arizona,33,25,8,0.758,19.48,7.27,12,6,17,1,5,5,2680,2277,,69.9,96.5,0.292,0.312,0.498,43.5,48.6,7.5,8.2,0.463,14.4,28.6,0.208
