Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,13,18,0.419,-13.74,-7.34,8,10,10,5,2,12,2209,2272,,69.7,101.4,0.383,0.335,0.548,49,54.7,10.7,6.6,0.514,17.3,26,0.269
2,Air Force,32,14,18,0.438,-5.49,0.68,5,13,12,5,2,13,2189,2330,,69,97.7,0.402,0.339,0.523,48.3,55.9,8.7,5.9,0.485,16.9,24.7,0.275
3,Akron,34,26,8,0.765,5.87,-1.4,13,5,15,0,6,7,2619,2309,,69.3,111.2,0.313,0.503,0.559,50.2,56,7.8,9.8,0.533,13.7,29,0.217
4,Alabama A&amp;M,29,11,18,0.379,-13.28,-10.56,6,12,6,5,4,12,1974,2042,,65.6,102.4,0.393,0.367,0.51,49.4,53.7,8.5,5.7,0.471,15,31.5,0.269
5,Alabama-Birmingham,32,26,6,0.813,3.86,-3.5,16,2,16,0,10,3,2527,2226,,69.3,112.2,0.334,0.336,0.571,52.7,64.4,9.2,15.5,0.542,15.4,33.1,0.239
6,Alabama State,31,14,17,0.452,-12.85,-9.09,9,9,8,3,5,12,2217,2308,,69.5,101.2,0.325,0.337,0.501,49.7,47.2,8.3,9.1,0.467,14.5,31.5,0.222
7,Alabama,32,18,14,0.563,7.84,8.8,8,10,10,4,5,7,2139,2170,,66.2,100.2,0.412,0.433,0.529,47.8,46.9,8.4,14.1,0.501,17.6,28.2,0.264
8,Albany (NY),32,24,8,0.75,1.18,-7.73,13,3,14,1,10,7,2405,2086,,67.6,110.4,0.454,0.317,0.559,55.4,49.1,9.7,4.7,0.51,16,35.5,0.34
9,Alcorn State,30,15,15,0.5,-15.81,-9.73,13,5,9,2,6,9,2014,2164,,66.4,99,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.7,35,0.271
10,American,31,12,19,0.387,-13.92,-5.82,9,9,5,7,7,12,1785,2036,,61.9,92.3,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,19.9,23.5,0.221
11,Appalachian State,31,9,22,0.29,-7.75,-0.94,7,13,6,7,2,12,2187,2398,,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.472,18,32.9,0.275
12,Arizona State,32,15,17,0.469,8.67,9.36,5,13,11,6,3,9,2345,2367,,69.8,104.2,0.378,0.394,0.518,50.4,50.9,7.6,7.3,0.481,14.6,31.5,0.26
13,Arizona,33,25,8,0.758,19.49,7.27,12,6,17,1,5,5,2680,2277,,69.9,113.6,0.441,0.292,0.576,56.5,51.6,6.9,11.4,0.538,15.5,35,0.319
14,Arkansas-Little Rock,33,29,4,0.879,7.03,-2.91,17,3,14,0,12,4,2341,1968,,64.5,109.5,0.313,0.351,0.558,50.2,51.8,10.1,10.1,0.526,14.2,28.2,0.23
15,Arkansas-Pine Bluff,33,8,25,0.242,-19,-5.21,6,12,3,6,4,17,1867,2322,,65.3,86.3,0.301,0.387,0.474,44.6,47,10.9,10.8,0.45,20.9,27.7,0.184
16,Arkansas State,31,11,20,0.355,-7.3,-2.2,7,13,9,6,2,14,2282,2353,,73,99.3,0.409,0.304,0.51,49.7,49.5,6.8,10.9,0.459,15.3,28.1,0.3
