Region,Team,Seed
1,Kansas,1
1,Austin Peay,16
1,Colorado,8
1,Connecticut,9
1,Maryland,5
1,South Dakota State,12
1,University of California,4
1,Hawaii,13
1,Arizona,6
1,Wichita State,11
1,Miami (FL),3
1,Buffalo,14
1,Iowa,7
1,Temple,10
1,Villanova,2
1,North Carolina-Asheville,15
2,Oregon,1
2,Holy Cross,16
2,Saint Joseph's,8
2,Cincinnati,9
2,Baylor,5
2,Yale,12
2,Duke,4
2,North Carolina-Wilmington,13
2,Texas,6
2,Northern Iowa,11
2,Texas A&amp;M,3
2,Green Bay,14
2,Oregon State,7
2,Virginia Commonwealth,10
2,Oklahoma,2
2,Cal State Bakersfield,15
3,North Carolina,1
3,Florida Gulf Coast,16
3,Southern California,8
3,Providence,9
3,Indiana,5
3,Chattanooga,12
3,Kentucky,4
3,Stony Brook,13
3,Notre Dame,6
3,Michigan,11
3,West Virginia,3
3,Stephen F. Austin,14
3,Wisconsin,7
3,Pittsburgh,10
3,Xavier,2
3,Weber State,15
4,Virginia,1
4,Hampton,16
4,Texas Tech,8
4,Butler,9
4,Purdue,5
4,Arkansas-Little Rock,12
4,Iowa State,4
4,Iona,13
4,Seton Hall,6
4,Gonzaga,11
4,Utah,3
4,Fresno State,14
4,Dayton,7
4,Syracuse,10
4,Michigan State,2
4,Middle Tennessee,15
