,Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url,Pace,EFG,TOV,ORB,FTFGA,O_EFG,O_TOV,O_ORB,O_FTFGA
0,abilene-christian,"Fri, Nov 13, 2015",,University of the Southwest,Abilene Christian,abilene-christian,W,the-southwest,80.5,,,,,0.541,12.7,44.4,0.205
115,alabama-birmingham,"Fri, Nov 13, 2015",@,Auburn,Alabama-Birmingham,alabama-birmingham,L,auburn,73.5,0.471,14.8,33.3,0.114,0.5,17.8,26.7,0.471
144,alabama-state,"Sat, Nov 14, 2015",@,Virginia Tech,Alabama State,alabama-state,W,virginia-tech,75.0,0.486,9.1,31.6,0.225,0.5,12.9,41.2,0.439
230,alcorn-state,"Thu, Nov 19, 2015",@,Grand Canyon,Alcorn State,alcorn-state,L,grand-canyon,74.6,0.325,21.5,18.4,0.117,0.531,19.8,34.5,0.551
256,american,"Fri, Nov 13, 2015",@,Rhode Island,American,american,L,rhode-island,62.5,0.37,23.6,25.0,0.174,0.565,17.9,38.5,0.283
287,appalachian-state,"Sat, Nov 14, 2015",,Jacksonville,Appalachian State,appalachian-state,W,jacksonville,74.4,0.431,13.3,42.1,0.308,0.46,12.5,18.4,0.177
314,arizona-state,"Fri, Nov 13, 2015",,Sacramento State,Arizona State,arizona-state,L,sacramento-state,69.2,0.436,13.0,25.0,0.273,0.518,21.5,32.4,0.143
371,arkansas-little-rock,"Sat, Nov 14, 2015",,Central Baptist,Arkansas-Little Rock,arkansas-little-rock,W,central-baptist,78.1,,,,,0.525,20.9,33.3,0.217
401,arkansas-pine-bluff,"Fri, Nov 13, 2015",@,Seattle,Arkansas-Pine Bluff,arkansas-pine-bluff,W,seattle,68.0,0.427,15.1,20.5,0.2,0.408,19.7,20.6,0.327
431,arkansas-state,"Fri, Nov 13, 2015",@,Southern Illinois-Edwardsville,Arkansas State,arkansas-state,L,southern-illinois-edwardsville,82.1,0.328,10.2,39.0,0.122,0.445,8.8,25.7,0.545
579,ball-state,"Fri, Nov 13, 2015",@,Bradley,Ball State,ball-state,L,bradley,63.9,0.391,15.8,27.5,0.182,0.372,16.4,29.3,0.404
727,boise-state,"Fri, Nov 13, 2015",@,Montana,Boise State,boise-state,L,montana,67.9,0.64,20.2,9.5,0.16,0.557,16.7,20.8,0.568
782,boston-university,"Fri, Nov 13, 2015",,Northeastern,Boston University,boston-university,L,northeastern,67.0,0.546,10.8,19.4,0.2,0.553,8.9,22.6,0.421
814,bowling-green-state,"Sat, Nov 14, 2015",,New Orleans,Bowling Green State,bowling-green-state,W,new-orleans,76.1,0.509,16.8,25.0,0.418,0.387,17.5,24.4,0.21
872,brigham-young,"Fri, Nov 13, 2015",,Utah Valley,Brigham Young,brigham-young,W,utah-valley,87.5,0.453,17.3,39.1,0.243,0.303,16.0,11.5,0.155
1043,cal-poly,"Fri, Nov 13, 2015",@,Nevada-Las Vegas,Cal Poly,cal-poly,L,nevada-las-vegas,74.3,0.454,15.3,31.6,0.2,0.48,21.7,41.2,0.49
1070,cal-state-bakersfield,"Sat, Nov 14, 2015",,San Diego Christian,Cal State Bakersfield,cal-state-bakersfield,W,san-diego-christian,76.0,,,,,0.642,13.1,25.0,0.104
1099,cal-state-fullerton,"Fri, Nov 13, 2015",@,Loyola Marymount,Cal State Fullerton,cal-state-fullerton,L,loyola-marymount,78.4,0.526,21.6,28.1,0.246,0.389,10.6,31.8,0.319
1126,cal-state-northridge,"Fri, Nov 13, 2015",@,Northern Illinois,Cal State Northridge,cal-state-northridge,L,northern-illinois,73.4,0.509,16.9,28.2,0.273,0.546,14.8,29.6,0.444
1154,california-davis,"Fri, Nov 13, 2015",,North Dakota State,UC-Davis,california-davis,L,north-dakota-state,68.9,0.459,13.9,27.5,0.246,0.487,10.0,27.3,0.052
1183,california-irvine,"Fri, Nov 13, 2015",,UC-San Diego,UC-Irvine,california-irvine,W,california-san-diego,67.2,,,,,0.69,11.4,15.8,0.4
1210,california-riverside,"Sat, Nov 14, 2015",,William Jessup,UC-Riverside,california-riverside,W,william-jessup,79.4,,,,,0.643,9.2,28.1,0.143
1242,california-santa-barbara,"Fri, Nov 13, 2015",@,Nebraska-Omaha,UC-Santa Barbara,california-santa-barbara,W,nebraska-omaha,76.6,0.381,22.2,35.9,0.19,0.378,22.8,22.2,0.449
