Rk,School,School_url
1,Abilene Christian,abilene-christian
2,Air Force,air-force
3,Akron,akron
4,Alabama A&amp;M,alabama-am
5,Alabama-Birmingham,alabama-birmingham
6,Alabama State,alabama-state
7,Alabama,alabama
8,Albany (NY),albany-ny
9,Alcorn State,alcorn-state
10,American,american
11,Appalachian State,appalachian-state
12,Arizona State,arizona-state
13,Arizona,arizona
14,Arkansas-Little Rock,arkansas-little-rock
15,Arkansas-Pine Bluff,arkansas-pine-bluff
16,Arkansas State,arkansas-state
17,Arkansas,arkansas
18,Army,army
19,Auburn,auburn
20,Austin Peay,austin-peay
21,Ball State,ball-state
22,Baylor,baylor
23,Belmont,belmont
24,Bethune-Cookman,bethune-cookman
25,Binghamton,binghamton
26,Boise State,boise-state
27,Boston College,boston-college
28,Boston University,boston-university
29,Bowling Green State,bowling-green-state
30,Bradley,bradley
31,Brigham Young,brigham-young
32,Brown,brown
33,Bryant,bryant
34,Bucknell,bucknell
35,Buffalo,buffalo
36,Butler,butler
37,Cal Poly,cal-poly
38,Cal State Bakersfield,cal-state-bakersfield
39,Cal State Fullerton,cal-state-fullerton
40,Cal State Northridge,cal-state-northridge
41,UC-Davis,california-davis
42,UC-Irvine,california-irvine
43,UC-Riverside,california-riverside
44,UC-Santa Barbara,california-santa-barbara
45,University of California,california
46,Campbell,campbell
47,Canisius,canisius
48,Central Arkansas,central-arkansas
49,Central Connecticut State,central-connecticut-state
50,Central Florida,central-florida
51,Central Michigan,central-michigan
52,Charleston Southern,charleston-southern
53,Charlotte,charlotte
54,Chattanooga,chattanooga
55,Chicago State,chicago-state
56,Cincinnati,cincinnati
57,Citadel,citadel
58,Clemson,clemson
59,Cleveland State,cleveland-state
60,Coastal Carolina,coastal-carolina
61,Colgate,colgate
62,College of Charleston,college-of-charleston
63,Colorado State,colorado-state
64,Colorado,colorado
65,Columbia,columbia
66,Connecticut,connecticut
67,Coppin State,coppin-state
68,Cornell,cornell
69,Creighton,creighton
70,Dartmouth,dartmouth
71,Davidson,davidson
72,Dayton,dayton
73,Delaware State,delaware-state
74,Delaware,delaware
75,Denver,denver
76,DePaul,depaul
77,Detroit Mercy,detroit-mercy
78,Drake,drake
79,Drexel,drexel
80,Duke,duke
81,Duquesne,duquesne
82,East Carolina,east-carolina
83,East Tennessee State,east-tennessee-state
84,Eastern Illinois,eastern-illinois
85,Eastern Kentucky,eastern-kentucky
86,Eastern Michigan,eastern-michigan
87,Eastern Washington,eastern-washington
88,Elon,elon
89,Evansville,evansville
90,Fairfield,fairfield
91,Fairleigh Dickinson,fairleigh-dickinson
92,Florida A&amp;M,florida-am
93,Florida Atlantic,florida-atlantic
94,Florida Gulf Coast,florida-gulf-coast
95,Florida International,florida-international
96,Florida State,florida-state
97,Florida,florida
98,Fordham,fordham
99,Fresno State,fresno-state
100,Furman,furman
101,Gardner-Webb,gardner-webb
102,George Mason,george-mason
103,George Washington,george-washington
104,Georgetown,georgetown
105,Georgia Southern,georgia-southern
106,Georgia State,georgia-state
107,Georgia Tech,georgia-tech
108,Georgia,georgia
109,Gonzaga,gonzaga
110,Grambling,grambling
111,Grand Canyon,grand-canyon
112,Green Bay,green-bay
113,Hampton,hampton
114,Hartford,hartford
115,Harvard,harvard
116,Hawaii,hawaii
117,High Point,high-point
118,Hofstra,hofstra
119,Holy Cross,holy-cross
120,Houston Baptist,houston-baptist
121,Houston,houston
122,Howard,howard
123,Idaho State,idaho-state
124,Idaho,idaho
125,Illinois-Chicago,illinois-chicago
126,Illinois State,illinois-state
127,Illinois,illinois
128,Incarnate Word,incarnate-word
129,Indiana State,indiana-state
130,Indiana,indiana
131,Iona,iona
132,Iowa State,iowa-state
133,Iowa,iowa
134,IPFW,ipfw
135,IUPUI,iupui
136,Jackson State,jackson-state
137,Jacksonville State,jacksonville-state
138,Jacksonville,jacksonville
139,James Madison,james-madison
140,Kansas State,kansas-state
141,Kansas,kansas
142,Kennesaw State,kennesaw-state
143,Kent State,kent-state
144,Kentucky,kentucky
145,La Salle,la-salle
146,Lafayette,lafayette
147,Lamar,lamar
148,Lehigh,lehigh
149,Liberty,liberty
150,Lipscomb,lipscomb
151,Long Beach State,long-beach-state
152,Long Island University,long-island-university
153,Longwood,longwood
154,Louisiana-Lafayette,louisiana-lafayette
155,Louisiana-Monroe,louisiana-monroe
156,Louisiana State,louisiana-state
157,Louisiana Tech,louisiana-tech
158,Louisville,louisville
159,Loyola (IL),loyola-il
160,Loyola Marymount,loyola-marymount
161,Loyola (MD),loyola-md
162,Maine,maine
163,Manhattan,manhattan
164,Marist,marist
165,Marquette,marquette
166,Marshall,marshall
167,Maryland-Baltimore County,maryland-baltimore-county
168,Maryland-Eastern Shore,maryland-eastern-shore
169,Maryland,maryland
170,Massachusetts-Lowell,massachusetts-lowell
171,Massachusetts,massachusetts
172,McNeese State,mcneese-state
173,Memphis,memphis
174,Mercer,mercer
175,Miami (FL),miami-fl
176,Miami (OH),miami-oh
177,Michigan State,michigan-state
178,Michigan,michigan
179,Middle Tennessee,middle-tennessee
180,Milwaukee,milwaukee
181,Minnesota,minnesota
182,Mississippi State,mississippi-state
183,Mississippi Valley State,mississippi-valley-state
184,Mississippi,mississippi
185,Missouri-Kansas City,missouri-kansas-city
186,Missouri State,missouri-state
187,Missouri,missouri
188,Monmouth,monmouth
189,Montana State,montana-state
190,Montana,montana
191,Morehead State,morehead-state
192,Morgan State,morgan-state
193,Mount St. Mary's,mount-st-marys
194,Murray State,murray-state
195,Navy,navy
196,Nebraska-Omaha,nebraska-omaha
197,Nebraska,nebraska
198,Nevada-Las Vegas,nevada-las-vegas
199,Nevada,nevada
200,New Hampshire,new-hampshire
201,New Mexico State,new-mexico-state
202,New Mexico,new-mexico
203,New Orleans,new-orleans
204,Niagara,niagara
205,Nicholls State,nicholls-state
206,NJIT,njit
207,Norfolk State,norfolk-state
208,North Carolina-Asheville,north-carolina-asheville
209,North Carolina A&amp;T,north-carolina-at
210,North Carolina Central,north-carolina-central
211,North Carolina-Greensboro,north-carolina-greensboro
212,North Carolina State,north-carolina-state
