110_Teams,110,111_Teams,111,112_Teams,112,113_Teams,113,114_Teams,114,115_Teams,115,116_Teams,116,117_Teams,117,120_Teams,120,121_Teams,121,122_Teams,122,123_Teams,123,130_Teams,130,131_Teams,131,140_Teams,140,210_Teams,210,211_Teams,211,212_Teams,212,213_Teams,213,214_Teams,214,215_Teams,215,216_Teams,216,217_Teams,217,220_Teams,220,221_Teams,221,222_Teams,222,223_Teams,223,230_Teams,230,231_Teams,231,240_Teams,240,310_Teams,310,311_Teams,311,312_Teams,312,313_Teams,313,314_Teams,314,315_Teams,315,316_Teams,316,317_Teams,317,320_Teams,320,321_Teams,321,322_Teams,322,323_Teams,323,330_Teams,330,331_Teams,331,340_Teams,340,410_Teams,410,411_Teams,411,412_Teams,412,413_Teams,413,414_Teams,414,415_Teams,415,416_Teams,416,417_Teams,417,420_Teams,420,421_Teams,421,422_Teams,422,423_Teams,423,430_Teams,430,431_Teams,431,440_Teams,440,530_Teams,530,531_Teams,531,640_Teams,640
Kansas,91,Villanova,66,Miami (FL),69,Hawaii,67,Maryland,52,Wichita State,60,Temple,55,Connecticut,61,Kansas,44,Villanova,44,Wichita State,39,Hawaii,50,Kansas,29,Wichita State,25,Kansas,18,Oregon,76,Oklahoma,61,Texas A&amp;M,77,Duke,52,Yale,57,Texas,76,Virginia Commonwealth,70,Saint Joseph's,58,Oregon,41,Virginia Commonwealth,39,Texas,44,Duke,34,Oregon,27,Texas,22,Texas,16,North Carolina,73,Weber State,50,West Virginia,69,Kentucky,66,Chattanooga,55,Notre Dame,71,Pittsburgh,52,Providence,80,North Carolina,44,Pittsburgh,28,Notre Dame,41,Chattanooga,34,Chattanooga,21,West Virginia,19,North Carolina,15,Virginia,70,Michigan State,57,Utah,58,Iowa State,51,Purdue,66,Seton Hall,57,Dayton,55,Butler,71,Butler,58,Michigan State,43,Seton Hall,34,Iowa State,35,Butler,34,Seton Hall,26,Butler,25,Miami (FL),10,Butler,19,Butler,12
Austin Peay,9,North Carolina-Asheville,34,Buffalo,31,University of California,33,South Dakota State,48,Arizona,40,Iowa,45,Colorado,39,Connecticut,43,Temple,28,Miami (FL),25,Maryland,24,Connecticut,25,Villanova,25,Villanova,14,Holy Cross,24,Cal State Bakersfield,39,Green Bay,23,North Carolina-Wilmington,48,Baylor,43,Northern Iowa,24,Oregon State,30,Cincinnati,42,Saint Joseph's,29,Oklahoma,27,Texas A&amp;M,37,North Carolina-Wilmington,31,Saint Joseph's,22,Virginia Commonwealth,21,Oregon,12,Florida Gulf Coast,27,Xavier,50,Stephen F. Austin,31,Stony Brook,34,Indiana,45,Michigan,29,Wisconsin,48,Southern California,20,Providence,41,Xavier,26,West Virginia,28,Kentucky,33,North Carolina,20,Notre Dame,18,Chattanooga,13,Hampton,30,Middle Tennessee,43,Fresno State,42,Iona,49,Arkansas-Little Rock,34,Gonzaga,43,Syracuse,45,Texas Tech,29,Virginia,23,Dayton,31,Utah,33,Purdue,26,Purdue,17,Utah,21,Purdue,13,Oregon,9,North Carolina,10,Miami (FL),6
Oregon,0,Oregon,0,Middle Tennessee,0,Texas,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Colorado,11,Iowa,19,Arizona,21,South Dakota State,17,Hawaii,19,Temple,13,Wichita State,14,Middle Tennessee,0,Austin Peay,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Cincinnati,25,Cal State Bakersfield,23,Northern Iowa,11,Yale,20,Cincinnati,18,Texas A&amp;M,21,Texas A&amp;M,12,Middle Tennessee,0,Oregon State,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Florida Gulf Coast,9,Wisconsin,24,Michigan,19,Indiana,24,Kentucky,19,Wisconsin,17,Providence,10,Middle Tennessee,0,Virginia Commonwealth,0,Middle Tennessee,0,Holy Cross,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Texas Tech,11,Syracuse,19,Gonzaga,20,Iona,25,Virginia,14,Gonzaga,12,Seton Hall,10,Wichita State,8,Indiana,9,Chattanooga,6
Virginia Commonwealth,0,Virginia Commonwealth,0,Duke,0,Saint Joseph's,0,North Carolina-Wilmington,0,Saint Joseph's,0,Duke,0,North Carolina-Wilmington,0,Austin Peay,2,North Carolina-Asheville,9,Buffalo,15,University of California,9,Maryland,12,Miami (FL),12,Hawaii,10,Michigan State,0,Colorado,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Holy Cross,5,Oregon State,11,Green Bay,8,Baylor,15,North Carolina-Wilmington,16,Oklahoma,15,Virginia Commonwealth,11,Oregon,0,Green Bay,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Southern California,6,Weber State,22,Stephen F. Austin,12,Stony Brook,9,Providence,18,Pittsburgh,15,Kentucky,10,Yale,0,Oregon State,0,Duke,0,Saint Joseph's,0,Yale,0,Duke,0,Duke,0,Yale,0,Hampton,8,Middle Tennessee,7,Fresno State,13,Arkansas-Little Rock,14,Iowa State,11,Dayton,11,Utah,9,Texas,8,Chattanooga,8,Wichita State,5
Oregon State,0,Oregon State,0,Saint Joseph's,0,Cincinnati,0,Saint Joseph's,0,Cincinnati,0,Saint Joseph's,0,Saint Joseph's,0,Texas,0,Duke,0,Holy Cross,0,Middle Tennessee,0,Colorado,8,Arizona,9,Miami (FL),7,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Green Bay,0,Virginia Commonwealth,0,Middle Tennessee,0,Colorado,0,Middle Tennessee,0,Middle Tennessee,0,Yale,7,Cal State Bakersfield,13,Cincinnati,10,Oregon State,0,Texas A&amp;M,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Middle Tennessee,0,Northern Iowa,0,Middle Tennessee,0,Saint Joseph's,0,Indiana,16,Xavier,10,Indiana,9,Holy Cross,0,Green Bay,0,Holy Cross,0,Cincinnati,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Middle Tennessee,0,Austin Peay,0,Middle Tennessee,0,Oregon,0,Iona,8,Michigan State,11,Dayton,6,Kansas,6,Utah,7,Utah,5
Green Bay,0,Green Bay,0,Cincinnati,0,Baylor,0,Cincinnati,0,Baylor,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Texas,0,South Dakota State,4,Iowa,8,Connecticut,7,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Texas A&amp;M,0,Oregon State,0,Michigan State,0,Holy Cross,0,Michigan State,0,Michigan State,0,Duke,6,Oregon State,3,Saint Joseph's,9,Green Bay,0,Northern Iowa,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Duke,0,Texas,0,Baylor,0,Cincinnati,0,Florida Gulf Coast,4,Michigan,8,Pittsburgh,7,Saint Joseph's,0,Texas A&amp;M,0,Saint Joseph's,0,Baylor,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Cincinnati,0,Oregon,0,Yale,0,Holy Cross,0,Arkansas-Little Rock,8,Syracuse,9,Gonzaga,6,Cincinnati,6,Providence,6,Indiana,5
Texas A&amp;M,0,Texas A&amp;M,0,Baylor,0,Yale,0,Baylor,0,Yale,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Cincinnati,0,University of California,2,Buffalo,7,Temple,6,Green Bay,0,Green Bay,0,Northern Iowa,0,Green Bay,0,Green Bay,0,Green Bay,0,Northern Iowa,0,Green Bay,0,Virginia Commonwealth,0,Austin Peay,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Baylor,2,Northern Iowa,3,North Carolina-Wilmington,8,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Saint Joseph's,0,North Carolina-Wilmington,0,Saint Joseph's,0,Baylor,0,Southern California,2,Stephen F. Austin,7,Wisconsin,7,Cincinnati,0,Northern Iowa,0,Cincinnati,0,Yale,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Oregon,0,Oregon State,0,Oregon,0,Saint Joseph's,0,Texas Tech,6,Fresno State,9,Iowa State,5,Arizona,6,Pittsburgh,5,Oklahoma,5
Northern Iowa,0,Northern Iowa,0,Yale,0,Duke,0,Yale,0,Duke,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,Baylor,0,Austin Peay,1,North Carolina-Asheville,1,Maryland,5,Texas A&amp;M,0,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Oregon State,0,Green Bay,0,Oregon State,0,Oregon State,0,Holy Cross,2,Green Bay,2,Cal State Bakersfield,6,Northern Iowa,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Cincinnati,0,Duke,0,Cincinnati,0,Yale,0,Duke,0,Weber State,6,West Virginia,6,Baylor,0,Texas,0,Baylor,0,Duke,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Holy Cross,0,Green Bay,0,Holy Cross,0,Cincinnati,0,Hampton,2,Middle Tennessee,1,Iona,5,Texas A&amp;M,6,Seton Hall,5,North Carolina,4
Texas,0,Texas,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Duke,0,North Carolina-Wilmington,0,Duke,0,Yale,0,Northern Iowa,0,North Carolina-Wilmington,0,Arizona,5,Northern Iowa,0,Northern Iowa,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Northern Iowa,0,Green Bay,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Green Bay,0,Middle Tennessee,0,Maryland,0,Oklahoma,6,Texas,0,Duke,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas,0,Baylor,0,Texas A&amp;M,0,Yale,0,Duke,0,Cincinnati,0,Baylor,0,Stephen F. Austin,5,Duke,0,North Carolina-Wilmington,0,Yale,0,Middle Tennessee,0,Duke,0,Yale,0,Yale,0,Duke,0,Saint Joseph's,0,Texas A&amp;M,0,Saint Joseph's,0,Baylor,0,North Carolina-Asheville,0,Baylor,0,Michigan State,5,Oklahoma,6,Gonzaga,4,Oregon,4
