Team,games,Win,T_Pace,T_EFG,T_ORB,T_TOV,T_FTFGA,Team_stats,O_EFG,O_ORB,O_TOV,O_FTFGA,School,SOS
Providence,2.0,W,66.45,0.538,27.6,25.4,0.132,Harvard,0.4295,34.25,11.75,0.267,Harvard,-0.22
Massachusetts,3.0,W,65.7,0.47,31.3,19.2,0.2265,Harvard,0.432,33.0333333333,10.0666666667,0.252,Harvard,-0.22
Boston College,3.0,W,65.7,0.47,31.3,19.2,0.2265,Harvard,0.432,33.0333333333,10.0666666667,0.252,Harvard,-0.22
Bryant,5.0,L,66.96,0.5245,29.575,20.1,0.231,Harvard,0.4114,27.66,12.98,0.2784,Harvard,-0.22
Holy Cross,5.0,W,66.96,0.5245,29.575,20.1,0.231,Harvard,0.4114,27.66,12.98,0.2784,Harvard,-0.22
Northeastern,6.0,W,66.0833333333,0.5098,29.12,19.94,0.1966,Harvard,0.401,25.4333333333,12.9833333333,0.272833333333,Harvard,-0.22
Kansas,7.0,W,66.7714285714,0.526,26.9333333333,19.9666666667,0.172833333333,Harvard,0.416285714286,26.8428571429,12.8571428571,0.264571428571,Harvard,-0.22
Boston University,8.0,L,67.55,0.522285714286,27.8428571429,20.2714285714,0.178285714286,Harvard,0.429875,26.8,13.075,0.259,Harvard,-0.22
Wofford,9.0,L,67.7777777778,0.527125,26.8625,19.2875,0.180125,Harvard,0.436666666667,26.2,13.6333333333,0.260555555556,Harvard,-0.22
Vermont,10.0,W,67.16,0.548888888889,27.5777777778,19.1333333333,0.181333333333,Harvard,0.4351,26.81,13.77,0.2503,Harvard,-0.22
Dartmouth,12.0,L,67.5166666667,0.550727272727,25.4818181818,19.1636363636,0.199818181818,Harvard,0.43975,25.725,13.25,0.24025,Harvard,-0.22
Howard,14.0,L,68.3785714286,0.551,27.6583333333,20.0083333333,0.193583333333,Harvard,0.436071428571,27.4357142857,13.9214285714,0.235928571429,Harvard,-0.22
Dartmouth,15.0,W,68.4466666667,0.541769230769,26.2538461538,19.9307692308,0.187769230769,Harvard,0.436266666667,27.6066666667,14.32,0.2474,Harvard,-0.22
