old,new
abilene-chr,abilene-christian
alabama-st,alabama-state
alcorn-st,alcorn-state
american-univ,american
appalachian-st,appalachian-state
arizona-st,arizona-state
ark-little-rock,arkansas-little-rock
ark-pine-bluff,arkansas-pine-bluff
arkansas-st,arkansas-state
ball-st,ball-state
boise-st,boise-state
boston-univ,boston-university
bowling-green,bowling-green-state
byu,brigham-young
c-michigan,central-michigan
cal-poly-slo,cal-poly
cent-arkansas,central-arkansas
central-conn,central-connecticut-state
charleston-so,charleston-southern
chicago-st,chicago-state
cleveland-st,cleveland-state
coastal-car,coastal-carolina
col-charleston,college-of-charleston
colorado-st,colorado-state
coppin-st,coppin-state
cs-bakersfield,cal-state-bakersfield
cs-fullerton,cal-state-fullerton
cs-northridge,cal-state-northridge
cs-sacramento,sacramento-state
delaware-st,delaware-state
detroit,detroit-mercy
e-illinois,eastern-illinois
e-kentucky,eastern-kentucky
e-michigan,eastern-michigan
e-washington,eastern-washington
edwardsville,southern-illinois-edwardsville
etsu,east-tennessee-state
f-dickinson,fairleigh-dickinson
fl-atlantic,florida-atlantic
fl-gulf-coast,florida-gulf-coast
florida-intl,florida-international
florida-st,florida-state
fresno-st,fresno-state
g-washington,george-washington
ga-southern,georgia-southern
georgia-st,georgia-state
houston-bap,houston-baptist
idaho-st,idaho-state
il-chicago,illinois-chicago
illinois-st,illinois-state
indiana-st,indiana-state
iowa-st,iowa-state
jackson-st,jackson-state
jacksonville-st,jacksonville-state
kansas-st,kansas-state
kennesaw,kennesaw-state
kent,kent-state
long-beach-st,long-beach-state
long-island,long-island-university
loy-marymount,loyola-marymount
loyola-chicago,loyola-il
lsu,louisiana-state
ma-lowell,massachusetts-lowell
mcneese-st,mcneese-state
md-e-shore,maryland-baltimore-county
michigan-st,michigan-state
mississippi-st,mississippi-state
missouri-kc,missouri-kansas-city
missouri-st,missouri-state
monmouth-nj,monmouth
montana-st,montana-state
morehead-st,morehead-state
morgan-st,morgan-state
ms-valley-st,mississippi-valley-state
mt-st-marys,mount-st-marys
mtsu,middle-tennessee
murray-st,murray-state
n-colorado,northern-colorado
n-dakota-st,north-dakota-state
n-illinois,northern-illinois
n-kentucky,northern-kentucky
nc-at,north-carolina-at
nc-central,north-carolina-central
nc-state,north-carolina-state
ne-omaha,nebraska-omaha
new-mexico-st,new-mexico-state
nicholls-st,nicholls-state
norfolk-st,norfolk-state
northwestern-la,northwestern-state
ohio-st,ohio-state
oklahoma-st,oklahoma-state
oregon-st,oregon-state
penn,pennsylvania
penn-st,penn-state
portland-st,portland-state
s-carolina-st,south-carolina-state
s-dakota-st,south-dakota-state
s-illinois,southern-illinois
sam-houston-st,sam-houston-state
san-diego-st,san-diego-state
san-jose-st,san-jose-state
santa-barbara,california-santa-barbara
savannah-st,savannah-state
sc-upstate,south-carolina-upstate
se-louisiana,southeastern-louisiana
se-missouri-st,southeast-missouri-state
sf-austin,stephen-f-austin
smu,southern-methodist
southern-miss,southern-mississippi
southern-univ,southern
st-francis-pa,saint-francis-pa
st-johns,st-johns-ny
st-josephs-pa,saint-josephs
st-louis,saint-louis
st-marys-ca,saint-marys-ca
st-peters,saint-peters
tam-c-christi,texas-am-corpus-christi
tcu,texas-christian
tennessee-st,tennessee-state
texas-st,texas-state
tn-martin,tennessee-martin
tx-southern,texas-southern
uab,alabama-birmingham
uc-davis,california-davis
uc-irvine,california-irvine
uc-riverside,california-riverside
ucf,central-florida
ull,louisiana-lafayette
ulm,louisiana-monroe
umbc,maryland-eastern-shore
unc-asheville,north-carolina-asheville
unc-greensboro,north-carolina-greensboro
unc-wilmington,north-carolina-wilmington
unlv,nevada-las-vegas
usc,southern-california
ut-arlington,texas-arlington
ut-san-antonio,texas-san-antonio
utah-st,utah-state
utep,texas-el-paso
utrgv,texas-pan-american
va-commonwealth,virginia-commonwealth
w-carolina,western-carolina
w-illinois,western-illinois
w-michigan,western-michigan
washington-st,washington-state
weber-st,weber-state
wi-green-bay,green-bay
wi-milwaukee,milwaukee
wichita-st,wichita-state
wku,western-kentucky
wright-st,wright-state
youngstown-st,youngstown-state
