Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,0.419,-13.78,-7.38,8,10,10,5,2,12,2209,2272,,1250,792,1662,0.477,168,486,0.346,520,735,0.707,266,1031,376,160,98,448,596
2,Air Force,32,14,18,0.438,-5.5,0.67,5,13,12,5,2,13,2189,2330,,1300,784,1823,0.43,290,843,0.344,472,667,0.708,326,1187,470,211,133,436,664
3,Akron,34,26,8,0.765,5.89,-1.39,13,5,15,0,6,7,2619,2309,,1360,839,2036,0.412,200,677,0.295,431,644,0.669,383,1258,384,202,78,396,614
4,Alabama A&amp;M,29,11,18,0.379,-13.24,-10.52,6,12,6,5,4,12,1974,2042,,1175,726,1599,0.454,168,520,0.323,422,637,0.662,307,1025,351,171,84,316,590
5,Alabama-Birmingham,32,26,6,0.813,3.86,-3.5,16,2,16,0,10,3,2527,2226,,1300,803,1948,0.412,220,682,0.323,400,577,0.693,377,1104,404,198,102,405,578
6,Alabama State,31,14,17,0.452,-12.81,-9.05,9,9,8,3,5,12,2217,2308,,1260,808,1744,0.463,193,569,0.339,499,768,0.65,324,1170,404,187,106,400,548
7,Alabama,32,18,14,0.563,7.84,8.81,8,10,10,4,5,7,2139,2170,,1290,740,1818,0.407,206,628,0.328,484,723,0.669,416,1214,358,183,91,388,629
8,Albany (NY),32,24,8,0.75,1.18,-7.72,13,3,14,1,10,7,2405,2086,,1290,770,1830,0.421,218,723,0.302,328,491,0.668,306,989,386,169,126,422,684
9,Alcorn State,30,15,15,0.5,-15.78,-9.7,13,5,9,2,6,9,2014,2164,,1225,748,1673,0.447,215,592,0.363,453,646,0.701,324,1038,384,205,95,357,583
10,American,31,12,19,0.387,-13.91,-5.82,9,9,5,7,7,12,1785,2036,,1250,735,1568,0.469,147,473,0.311,419,628,0.667,284,992,362,225,75,370,530
11,Appalachian State,31,9,22,0.29,-7.74,-0.94,7,13,6,7,2,12,2187,2398,,1240,856,1852,0.462,183,474,0.386,503,738,0.682,357,1157,373,197,116,349,673
12,Arizona State,32,15,17,0.469,8.66,9.35,5,13,11,6,3,9,2345,2367,,1290,830,1812,0.458,224,633,0.354,483,690,0.7,302,1159,483,186,150,411,670
13,Arizona,33,25,8,0.758,19.48,7.27,12,6,17,1,5,5,2680,2277,,1350,829,2008,0.413,201,626,0.321,418,587,0.712,313,1025,403,178,112,382,722
14,Arkansas-Little Rock,33,29,4,0.879,7.02,-2.91,17,3,14,0,12,4,2341,1968,,1325,664,1710,0.388,206,672,0.307,434,633,0.686,339,1107,345,132,89,462,576
15,Arkansas-Pine Bluff,33,8,25,0.242,-18.96,-5.18,6,12,3,6,4,17,1867,2322,,1325,747,1701,0.439,180,557,0.323,648,913,0.71,408,1248,441,271,99,438,524
16,Arkansas State,31,11,20,0.355,-7.29,-2.19,7,13,9,6,2,14,2282,2353,,1260,791,1983,0.399,259,737,0.351,512,757,0.676,401,1257,399,195,94,355,675
17,Arkansas,32,16,16,0.5,10.66,7.2,9,9,13,4,3,8,2501,2390,,1305,803,1844,0.435,231,644,0.359,553,790,0.7,349,1187,447,165,140,454,658
18,Army,32,19,13,0.594,-6.72,-8.01,9,9,7,8,11,5,2474,2395,,1310,888,2000,0.444,191,551,0.347,428,641,0.668,336,1190,399,228,106,392,632
19,Auburn,31,11,20,0.355,0.55,7.94,5,13,8,7,2,11,2192,2421,,1245,832,1877,0.443,232,667,0.348,525,752,0.698,376,1270,439,187,122,400,656
