"Team_ID","Date","Network","Type","Var.5","Opponent","Conf","Var.8"
"abilene-christian","Fri, Nov 13, 2015","","REG","","University of the Southwest","","W"
"abilene-christian","Tue, Nov 17, 2015","","REG","","Howard Payne","","W"
"abilene-christian","Sun, Nov 22, 2015","","REG","@","Portland","WCC","L"
"abilene-christian","Tue, Nov 24, 2015","","REG","@","Colorado State","MWC","L"
"abilene-christian","Fri, Nov 27, 2015","","REG","N","Florida A&M","MEAC","W"
"abilene-christian","Sat, Nov 28, 2015","","REG","N","Oakland","Horizon","L"
"abilene-christian","Thu, Dec 3, 2015","","REG","","New Hampshire","AEC","L"
"abilene-christian","Sat, Dec 5, 2015","","REG","@","Nebraska","Big Ten","L"
"abilene-christian","Sat, Dec 12, 2015","","REG","","Schreiner","","W"
"abilene-christian","Fri, Dec 18, 2015","","REG","","UC-Riverside","Big West","L"
"abilene-christian","Sun, Dec 20, 2015","","REG","@","Texas Christian","Big 12","L"
"abilene-christian","Tue, Dec 22, 2015","","REG","@","Drake","MVC","L"
"abilene-christian","Wed, Dec 30, 2015","","REG","","Hillsdale","","W"
"abilene-christian","Sat, Jan 2, 2016","","REG","@","Central Arkansas","Southland","W"
"abilene-christian","Sat, Jan 9, 2016","","REG","@","Nicholls State","Southland","L"
"abilene-christian","Tue, Jan 12, 2016","","REG","","Northwestern State","Southland","W"
"abilene-christian","Sat, Jan 16, 2016","","REG","@","Stephen F. Austin","Southland","L"
"abilene-christian","Tue, Jan 19, 2016","","REG","","McNeese State","Southland","W"
"abilene-christian","Sat, Jan 23, 2016","","REG","@","Incarnate Word","Southland","L"
"abilene-christian","Mon, Jan 25, 2016","","REG","@","Sam Houston State","Southland","L"
"abilene-christian","Sat, Jan 30, 2016","","REG","","Lamar","Southland","W"
"abilene-christian","Tue, Feb 2, 2016","","REG","","Houston Baptist","Southland","W"
"abilene-christian","Sat, Feb 6, 2016","","REG","@","Southeastern Louisiana","Southland","L"
"abilene-christian","Mon, Feb 8, 2016","","REG","@","Lamar","Southland","W"
"abilene-christian","Mon, Feb 15, 2016","","REG","","Sam Houston State","Southland","L"
"abilene-christian","Thu, Feb 18, 2016","","REG","@","Houston Baptist","Southland","L"
"abilene-christian","Sun, Feb 21, 2016","","REG","","Southeastern Louisiana","Southland","W"
"abilene-christian","Tue, Feb 23, 2016","","REG","@","Texas A&M-Corpus Christi","Southland","L"
"abilene-christian","Sat, Feb 27, 2016","","REG","","New Orleans","Southland","W"
"abilene-christian","Thu, Mar 3, 2016","","REG","","Incarnate Word","Southland","L"
"abilene-christian","Sat, Mar 5, 2016","","REG","","Texas A&M-Corpus Christi","Southland","L"
"air-force","Fri, Nov 13, 2015","","REG","@","Southern Illinois","MVC","L"
"air-force","Mon, Nov 16, 2015","","REG","","Tennessee Tech","OVC","W"
"air-force","Thu, Nov 19, 2015","","REG","","Mississippi Valley State","SWAC","W"
"air-force","Sun, Nov 22, 2015","","REG","","Robert Morris","NEC","W"
"air-force","Wed, Nov 25, 2015","","REG","@","Colorado","Pac-12","L"
"air-force","Sat, Nov 28, 2015","","REG","","New Mexico State","WAC","W"
"air-force","Wed, Dec 2, 2015","","REG","","Citadel","Southern","W"
"air-force","Sat, Dec 5, 2015","","REG","@","Denver","Summit","W"
"air-force","Tue, Dec 8, 2015","","REG","@","Ohio State","Big Ten","L"
"air-force","Sat, Dec 12, 2015","","REG","","Army","Patriot","L"
"air-force","Sat, Dec 19, 2015","","REG","@","UC-Davis","Big West","W"
"air-force","Tue, Dec 22, 2015","","REG","","Johnson & Wales","","W"
"air-force","Tue, Dec 29, 2015","","REG","","Western State","","W"
"air-force","Sat, Jan 2, 2016","","REG","","San Jose State","MWC","W"
"air-force","Wed, Jan 6, 2016","","REG","@","Wyoming","MWC","L"
"air-force","Sat, Jan 9, 2016","","REG","","Nevada","MWC","L"
"air-force","Tue, Jan 12, 2016","","REG","@","Utah State","MWC","L"
"air-force","Sat, Jan 16, 2016","","REG","@","Nevada-Las Vegas","MWC","L"
"air-force","Wed, Jan 20, 2016","","REG","","Colorado State","MWC","L"
"air-force","Sat, Jan 23, 2016","","REG","","Fresno State","MWC","L"
"air-force","Wed, Jan 27, 2016","","REG","@","New Mexico","MWC","L"
"air-force","Sat, Jan 30, 2016","","REG","@","San Jose State","MWC","L"
"air-force","Tue, Feb 2, 2016","","REG","","Wyoming","MWC","W"
"air-force","Sat, Feb 6, 2016","","REG","","Boise State","MWC","W"
"air-force","Wed, Feb 10, 2016","","REG","@","Nevada","MWC","L"
"air-force","Sat, Feb 13, 2016","","REG","@","San Diego State","MWC","L"
"air-force","Tue, Feb 16, 2016","","REG","","Nevada-Las Vegas","MWC","W"
"air-force","Sat, Feb 20, 2016","","REG","","New Mexico","MWC","W"
"air-force","Wed, Feb 24, 2016","","REG","@","Fresno State","MWC","L"
"air-force","Tue, Mar 1, 2016","","REG","","Utah State","MWC","L"
"air-force","Sat, Mar 5, 2016","","REG","@","Colorado State","MWC","L"
"air-force","Date","Network","Type","","Opponent","Conf",""
"air-force","Wed, Mar 9, 2016","","CTOURN","@","Nevada-Las Vegas","MWC","L"
"akron","Sat, Nov 14, 2015","","REG","N","Cleveland State","Horizon","W"
"akron","Mon, Nov 16, 2015","","REG","","Hiram","","W"
"akron","Wed, Nov 18, 2015","","REG","@","Arkansas","SEC","W"
"akron","Sun, Nov 22, 2015","","REG","@","Villanova (11)","Big East","L"
