"Team_ID","Date","Var.5","Opponent","School","School_url","Opponent_url","Pace","EFG","TOV","ORB","FTFGA","O_EFG","O_TOV","O_ORB","O_FTFGA"
"abilene-christian","Fri, Nov 13, 2015","","University of the Southwest","Abilene Christian","abilene-christian","the-southwest","80.5",NA,NA,NA,NA,".541","12.7","44.4",".205"
"abilene-christian","Tue, Nov 17, 2015","","Howard Payne","Abilene Christian","abilene-christian","howard-payne","72.2",NA,NA,NA,NA,".518","19.7","31.0",".236"
"abilene-christian","Sun, Nov 22, 2015","@","Portland","Abilene Christian","abilene-christian","portland","78.6",".337","23.2","27.0",".423",".602","17.2","27.6",".156"
"abilene-christian","Tue, Nov 24, 2015","@","Colorado State","Abilene Christian","abilene-christian","colorado-state","69.2",".571","11.0","17.6",".286",".555","10.3","30.6",".370"
"abilene-christian","Thu, Dec 3, 2015","","New Hampshire","Abilene Christian","abilene-christian","new-hampshire","72.9",".560","16.5","14.8",".380",".583","15.6","24.2",".267"
"abilene-christian","Sat, Dec 5, 2015","@","Nebraska","Abilene Christian","abilene-christian","nebraska","70.1",".521","26.9","8.7",".298",".469","15.6","40.7",".551"
"abilene-christian","Sat, Dec 12, 2015","","Schreiner","Abilene Christian","abilene-christian","schreiner","67.9",NA,NA,NA,NA,".606","22.0","23.1",".115"
"abilene-christian","Fri, Dec 18, 2015","","UC-Riverside","Abilene Christian","abilene-christian","california-riverside","61.4",".436","12.8","28.1",".145",".552","18.0","20.7",".146"
"abilene-christian","Sun, Dec 20, 2015","@","Texas Christian","Abilene Christian","abilene-christian","texas-christian","71.9",".491","16.8","22.6",".321",".517","12.6","26.7",".345"
"abilene-christian","Tue, Dec 22, 2015","@","Drake","Abilene Christian","abilene-christian","drake","68.0",".509","10.9","18.8",".190",".729","16.9","20.0",".354"
"abilene-christian","Wed, Dec 30, 2015","","Hillsdale","Abilene Christian","abilene-christian","hillsdale","74.0",NA,NA,NA,NA,".596","14.1","39.3",".132"
