Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url
abilene-christian,"Fri, Nov 13, 2015",,University of the Southwest,Abilene Christian,abilene-christian,W,the-southwest
abilene-christian,"Tue, Nov 17, 2015",,Howard Payne,Abilene Christian,abilene-christian,W,howard-payne
abilene-christian,"Sun, Nov 22, 2015",@,Portland,Abilene Christian,abilene-christian,L,portland
abilene-christian,"Tue, Nov 24, 2015",@,Colorado State,Abilene Christian,abilene-christian,L,colorado-state
abilene-christian,"Thu, Dec 3, 2015",,New Hampshire,Abilene Christian,abilene-christian,L,new-hampshire
abilene-christian,"Sat, Dec 5, 2015",@,Nebraska,Abilene Christian,abilene-christian,L,nebraska
abilene-christian,"Sat, Dec 12, 2015",,Schreiner,Abilene Christian,abilene-christian,W,schreiner
abilene-christian,"Fri, Dec 18, 2015",,UC-Riverside,Abilene Christian,abilene-christian,L,california-riverside
abilene-christian,"Sun, Dec 20, 2015",@,Texas Christian,Abilene Christian,abilene-christian,L,texas-christian
abilene-christian,"Tue, Dec 22, 2015",@,Drake,Abilene Christian,abilene-christian,L,drake
abilene-christian,"Wed, Dec 30, 2015",,Hillsdale,Abilene Christian,abilene-christian,W,hillsdale
abilene-christian,"Sat, Jan 2, 2016",@,Central Arkansas,Abilene Christian,abilene-christian,W,central-arkansas
abilene-christian,"Sat, Jan 9, 2016",@,Nicholls State,Abilene Christian,abilene-christian,L,nicholls-state
abilene-christian,"Tue, Jan 12, 2016",,Northwestern State,Abilene Christian,abilene-christian,W,northwestern-state
abilene-christian,"Sat, Jan 16, 2016",@,Stephen F. Austin,Abilene Christian,abilene-christian,L,stephen-f-austin
abilene-christian,"Tue, Jan 19, 2016",,McNeese State,Abilene Christian,abilene-christian,W,mcneese-state
abilene-christian,"Sat, Jan 23, 2016",@,Incarnate Word,Abilene Christian,abilene-christian,L,incarnate-word
abilene-christian,"Mon, Jan 25, 2016",@,Sam Houston State,Abilene Christian,abilene-christian,L,sam-houston-state
abilene-christian,"Sat, Jan 30, 2016",,Lamar,Abilene Christian,abilene-christian,W,lamar
abilene-christian,"Tue, Feb 2, 2016",,Houston Baptist,Abilene Christian,abilene-christian,W,houston-baptist
abilene-christian,"Sat, Feb 6, 2016",@,Southeastern Louisiana,Abilene Christian,abilene-christian,L,southeastern-louisiana
abilene-christian,"Mon, Feb 8, 2016",@,Lamar,Abilene Christian,abilene-christian,W,lamar
abilene-christian,"Mon, Feb 15, 2016",,Sam Houston State,Abilene Christian,abilene-christian,L,sam-houston-state
abilene-christian,"Thu, Feb 18, 2016",@,Houston Baptist,Abilene Christian,abilene-christian,L,houston-baptist
abilene-christian,"Sun, Feb 21, 2016",,Southeastern Louisiana,Abilene Christian,abilene-christian,W,southeastern-louisiana
abilene-christian,"Tue, Feb 23, 2016",@,Texas A&M-Corpus Christi,Abilene Christian,abilene-christian,L,texas-am-corpus-christi
abilene-christian,"Sat, Feb 27, 2016",,New Orleans,Abilene Christian,abilene-christian,W,new-orleans
abilene-christian,"Thu, Mar 3, 2016",,Incarnate Word,Abilene Christian,abilene-christian,L,incarnate-word
