Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,0.419,-13.74,-7.34,8,10,10,5,2,12,2209,2272,,1250,771,1704,0.452,209,570,0.367,458,653,0.701,269,991,422,233,78,418,681
2,Air Force,32,14,18,0.438,-5.49,0.68,5,13,12,5,2,13,2189,2330,,1300,752,1758,0.428,202,596,0.339,483,707,0.683,283,1107,420,196,58,422,617
3,Akron,34,26,8,0.765,5.87,-1.4,13,5,15,0,6,7,2619,2309,,1360,888,2041,0.435,400,1027,0.389,443,639,0.693,357,1267,497,184,133,370,601
4,Alabama A&amp;M,29,11,18,0.379,-13.28,-10.56,6,12,6,5,4,12,1974,2042,,1175,681,1632,0.417,175,599,0.292,439,642,0.684,330,1000,366,163,61,338,561
5,Alabama-Birmingham,32,26,6,0.813,3.86,-3.5,16,2,16,0,10,3,2527,2226,,1300,916,1910,0.48,238,642,0.371,457,637,0.717,359,1231,590,207,196,400,566
6,Alabama State,31,14,17,0.452,-12.85,-9.09,9,9,8,3,5,12,2217,2308,,1260,788,1918,0.411,215,647,0.332,426,623,0.684,389,1154,372,181,107,371,646
7,Alabama,32,18,14,0.563,7.84,8.8,8,10,10,4,5,7,2139,2170,,1290,721,1690,0.427,251,732,0.343,446,697,0.64,313,1110,338,180,168,426,617
8,Albany (NY),32,24,8,0.75,1.18,-7.73,13,3,14,1,10,7,2405,2086,,1290,812,1770,0.459,180,561,0.321,601,803,0.748,376,1228,399,212,52,404,560
9,Alcorn State,30,15,15,0.5,-15.81,-9.73,13,5,9,2,6,9,2014,2164,,1225,691,1692,0.408,174,566,0.307,458,676,0.678,384,1072,272,134,111,427,548
10,American,31,12,19,0.387,-13.92,-5.82,9,9,5,7,7,12,1785,2036,,1250,631,1487,0.424,195,572,0.341,328,471,0.696,218,874,348,176,69,422,566
11,Appalachian State,31,9,22,0.29,-7.75,-0.94,7,13,6,7,2,12,2187,2398,,1240,719,1795,0.401,256,720,0.356,493,701,0.703,393,1142,357,127,103,461,666
12,Arizona State,32,15,17,0.469,8.67,9.36,5,13,11,6,3,9,2345,2367,,1290,796,1919,0.415,254,757,0.336,499,726,0.687,394,1177,405,170,86,384,649
13,Arizona,33,25,8,0.758,19.49,7.27,12,6,17,1,5,5,2680,2277,,1350,926,1922,0.482,215,562,0.383,613,848,0.723,384,1329,478,162,158,421,599
14,Arkansas-Little Rock,33,29,4,0.879,7.03,-2.91,17,3,14,0,12,4,2341,1968,,1325,836,1827,0.458,249,641,0.388,420,572,0.734,302,1118,433,216,105,345,604
